pk,mode,model,request,step_number,input_tokens,output_tokens,duration
1,xarp,mistralai/devstral-small-2-2512,Anchor a box to the ,1,3901,15,2.4557409286499023
1,xarp,mistralai/devstral-small-2-2512,Anchor a box to the ,2,4130,169,4.404479026794434
1,xarp,mistralai/devstral-small-2-2512,Anchor a box to the ,3,4527,20,0.7810492515563965
2,base,mistralai/devstral-small-2-2512,Anchor a box to the ,1,2744,790,19.843867778778076
2,base,mistralai/devstral-small-2-2512,Anchor a box to the ,2,4403,205,5.9660491943359375
2,base,mistralai/devstral-small-2-2512,Anchor a box to the ,3,4864,516,12.793081760406494
2,base,mistralai/devstral-small-2-2512,Anchor a box to the ,4,5987,296,7.915824890136719
2,base,mistralai/devstral-small-2-2512,Anchor a box to the ,5,6637,95,2.7028048038482666
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,1,3351,15,0.9531781673431396
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,2,3579,166,4.355105876922607
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,3,3970,196,5.016335964202881
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,4,4657,199,45.952017307281494
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,5,5154,176,5.030192136764526
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,6,5565,20,0.9541289806365967
